example_id                                                        | status | run_time        |
----------------------------------------------------------------- | ------ | --------------- |
./spec/unified_payment_gateway/base_client_spec.rb[1:1:1]         | passed | 0.00023 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:1:2]         | passed | 0.00006 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:1:3]         | passed | 0.00011 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:1:4]         | failed | 0.0004 seconds  |
./spec/unified_payment_gateway/base_client_spec.rb[1:2:1]         | failed | 0.01711 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:2:2]         | passed | 0.01749 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:2:3]         | failed | 0.01822 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:3:1]         | failed | 0.0201 seconds  |
./spec/unified_payment_gateway/base_client_spec.rb[1:4:1]         | failed | 0.01694 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:5:1]         | failed | 0.01742 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:6:1:1]       | failed | 0.01467 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:6:2:1]       | passed | 0.01476 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:6:3:1]       | passed | 0.0131 seconds  |
./spec/unified_payment_gateway/base_client_spec.rb[1:6:4:1]       | passed | 0.01543 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:6:5:1]       | passed | 0.01575 seconds |
./spec/unified_payment_gateway/base_client_spec.rb[1:6:6:1]       | failed | 8.61 seconds    |
./spec/unified_payment_gateway/base_client_spec.rb[1:6:7:1]       | passed | 6.03 seconds    |
./spec/unified_payment_gateway/base_client_spec.rb[1:7:1]         | failed | 0.01708 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:1:1]       | passed | 0.00006 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:2:1]       | passed | 0.00008 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:2:2]       | passed | 0.00006 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:3:1]       | passed | 0.00008 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:3:2]       | passed | 0.00016 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:4:1:1]     | passed | 0.00008 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:4:2:1]     | passed | 0.00009 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:4:3:1]     | passed | 0.00242 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:4:4:1]     | passed | 0.00012 seconds |
./spec/unified_payment_gateway/configuration_spec.rb[1:4:5:1]     | passed | 0.00007 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:1:1]             | failed | 0.00006 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:1:2]             | failed | 0.00014 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:2:1:1]           | failed | 0.0002 seconds  |
./spec/unified_payment_gateway/gateway_spec.rb[1:2:2:1]           | failed | 0.00304 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:2:3:1]           | failed | 0.00054 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:3:1:1]           | failed | 0.00029 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:3:2:1]           | failed | 0.00032 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:4:1:1]           | failed | 0.00677 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:4:2:1]           | failed | 0.00081 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:5:1:1]           | failed | 0.00009 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:5:2:1]           | failed | 0.00016 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:6:1]             | failed | 0.00042 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:7:1]             | passed | 0.00204 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:8:1]             | failed | 0.00021 seconds |
./spec/unified_payment_gateway/gateway_spec.rb[1:9:1]             | failed | 0.00021 seconds |
